,FH
2023-08-29 16:01:00,34.496845
2023-08-29 16:01:15,34.50654
2023-08-29 16:01:30,34.461395
2023-08-29 16:01:45,34.543728
2023-08-29 16:02:00,34.490917
2023-08-29 16:02:15,34.383297
2023-08-29 16:02:30,34.418583
2023-08-29 16:02:45,34.516014
2023-08-29 16:03:00,34.455364
2023-08-29 16:03:15,34.49268
2023-08-29 16:03:30,34.51593
2023-08-29 16:03:45,34.494083
2023-08-29 16:04:00,34.477142
2023-08-29 16:04:15,34.366364
2023-08-29 16:04:30,34.40338
2023-08-29 16:04:45,34.47634
2023-08-29 16:05:00,34.426086
2023-08-29 16:05:15,34.449127
2023-08-29 16:05:30,34.42743
2023-08-29 16:05:45,34.520046
2023-08-29 16:06:00,34.417816
2023-08-29 16:06:15,34.438076
2023-08-29 16:06:30,34.385605
2023-08-29 16:06:45,34.4785
2023-08-29 16:07:00,34.436825
2023-08-29 16:07:15,34.438007
2023-08-29 16:07:30,34.459377
2023-08-29 16:07:45,34.490376
2023-08-29 16:08:00,34.530506
2023-08-29 16:08:15,34.48147
2023-08-29 16:08:30,34.51876
2023-08-29 16:08:45,34.491627
2023-08-29 16:09:00,34.52109
2023-08-29 16:09:15,34.4639
2023-08-29 16:09:30,34.551426
2023-08-29 16:09:45,34.442738
2023-08-29 16:10:00,34.427605
2023-08-29 16:10:15,34.50626
2023-08-29 16:10:30,34.471832
2023-08-29 16:10:45,34.456
2023-08-29 16:11:00,34.457836
2023-08-29 16:11:15,34.5683
2023-08-29 16:11:30,34.358814
2023-08-29 16:11:45,34.479206
2023-08-29 16:12:00,34.492924
2023-08-29 16:12:15,34.47675
2023-08-29 16:12:30,34.457058
2023-08-29 16:12:45,34.473003
2023-08-29 16:13:00,34.516464
2023-08-29 16:13:15,34.463634
2023-08-29 16:13:30,34.46849
2023-08-29 16:13:45,34.442425
2023-08-29 16:14:00,34.4663
2023-08-29 16:14:15,34.40454
2023-08-29 16:14:30,34.446575
2023-08-29 16:14:45,34.452534
2023-08-29 16:15:00,34.494457
2023-08-29 16:15:15,34.396526
2023-08-29 16:15:30,34.414165
2023-08-29 16:15:45,34.457718
2023-08-29 16:16:00,34.46977
2023-08-29 16:16:15,34.542336
2023-08-29 16:16:30,34.443573
2023-08-29 16:16:45,34.41807
2023-08-29 16:17:00,34.505054
2023-08-29 16:17:15,34.42598
2023-08-29 16:17:30,34.51199
2023-08-29 16:17:45,34.507328
2023-08-29 16:18:00,34.36916
2023-08-29 16:18:15,34.49994
2023-08-29 16:18:30,34.485237
2023-08-29 16:18:45,34.46601
2023-08-29 16:19:00,34.559498
2023-08-29 16:19:15,34.39953
2023-08-29 16:19:30,34.486813
2023-08-29 16:19:45,34.363617
2023-08-29 16:20:00,34.432972
2023-08-29 16:20:15,34.39074
2023-08-29 16:20:30,34.460594
2023-08-29 16:20:45,34.35621
2023-08-29 16:21:00,34.40811
2023-08-29 16:21:15,34.445473
2023-08-29 16:21:30,34.4955
2023-08-29 16:21:45,34.43151
2023-08-29 16:22:00,34.445557
2023-08-29 16:22:15,34.420937
2023-08-29 16:22:30,34.448
2023-08-29 16:22:45,34.502945
2023-08-29 16:23:00,34.363304
2023-08-29 16:23:15,34.460247
2023-08-29 16:23:30,34.499615
2023-08-29 16:23:45,34.407623
2023-08-29 16:24:00,34.587376
2023-08-29 16:24:15,34.401318
2023-08-29 16:24:30,34.462162
2023-08-29 16:24:45,34.4814
2023-08-29 16:25:00,34.44792
2023-08-29 16:25:15,34.507328
2023-08-29 16:25:30,34.50096
2023-08-29 16:25:45,34.405144
2023-08-29 16:26:00,34.41537
2023-08-29 16:26:15,34.528236
2023-08-29 16:26:30,34.43318
2023-08-29 16:26:45,34.39809
2023-08-29 16:27:00,34.48592
2023-08-29 16:27:15,34.49531
2023-08-29 16:27:30,34.495556
2023-08-29 16:27:45,34.49797
2023-08-29 16:28:00,34.45155
2023-08-29 16:28:15,34.501774
2023-08-29 16:28:30,34.457302
2023-08-29 16:28:45,34.501423
2023-08-29 16:29:00,34.518204
2023-08-29 16:29:15,34.45766
2023-08-29 16:29:30,34.508972
